Question,Answer,Class
what if i forget my activation code,"Visit HDFC bank Prepaid NetBanking option and select Forgot Activation Code and provide your card number, Date of Birth and passport number. The code will be sent to your registered email ID. Click here to see the demo.",cards
how can i cancel my multicurrency platinum forexplus card,"To cancel your Multicurrency card, we request you visit our your nearest HDFC Bank branch and place a request towards cancellation the of the card. Your request will be processed within one working day of us receiving the request and the available balance on the card will be refunded back to your account. Incase you do not have an account with us then a demand draft shall be issued for the respective refund amount. There are no charges towards the cancellation of a Multicurrency card. However, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you. Kindly visit the following URL to access information for the complete address and contact details of our Branches and PhoneBanking centers:",cards
do i need to have hdfc bank account to purchase the multicurrency platinum forexplus chip card,"No, you don't need to have an account with HDFC Bank to purchase the Multicurrency card. You can just walk into any of our HDFC bank branches in India and purchase it over the counter.",cards
what document should i submit when i purchase the hdfc bank multicurrency platinum forexplus chip card,"HDFC Bank Savings / Current account holders need to just submit completed application form and copy of valid Passport (or any other documentation as mandated under prevalent LRS guidelines) If you don't have HDFC Bank Savings / Current account, you need to submit completed application form, copy of valid Passport and copy of Ticket or Visa (or any other documentation as mandated under prevalent LRS guidelines) .",cards
what is the maximum value for which the card can be used,"There is no limit imposed on the usage of Platinum Multicurrency card. Customer's can withdraw/utilise any amount, upto the value loaded on Platinum Multicurrency card at any ATM/POS. However, there are some ATMs service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the Bank. In such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",cards
is multicurrency platinum forexplus chip card enabled for verified by visa vbv,"Ypes, Multicurrency card offered on VISA platform are pre-enabled for Verified by VISA that allows you to securely perform Ecommerce transactions. Following are the steps to perform Ecommerce transaction with VBV participating merchants: Select the goods or services you want from a online store and proceed to the payment page. Enter your HDFC Bank Multicurrency Platinum ForexPlus Chip card Visa number and the online store will connect with HDFC Bank to check whether your Card is secured with Verified by Visa. Enter your IPIN (used for login to Prepaid NetBanking) and HDFC Bank will then confirm your identity to the merchant. Your payment is authorized and your order is placed.",cards
what happens if my card is lost,"In case your card gets lost or stolen, all you have to do is call HDFC Bank PhoneBanking immediately and report the loss of your card. This facility is available 24 hrs. on all days. In case if you have been issued a back-up card in the kit, you can activate the back-up card by calling HDFC Bank Phone Banking or through Prepaid NetBanking. Once the back-up card is activated, all the funds from primary card will be transferred automatically to the back up card.",cards
can the value of the card be topped up,"Yes, your Multicurrency card can be reloaded multiple times in future till the card gets expired. Existing bank customers can reload their Multicurrency card through HDFC Bank NetBanking by selecting Reload Forex Card under the option of Cards tab. Alternatively existing customers can also place in a request to reload the card through HDFC Bank PhoneBanking service. Incase the Card is issued by your corporate/employer, reload requests received through them will be acted upon by HDFC Bank.",cards
can i use the card to pay in any currency,"Yes, the card is accepted for payment in any currency apart from those loaded on the card. Please note that cross currency conversion charges will be applicable while processing such transactions.",cards
do i need to activate multicurrency platinum forexplus chip card for ecommerce transaction,You Multicurrency card is pre-activated to perform Ecommerce transactions once your card is loaded with the Forex currency required.,cards
can i issue cheque to load the multicurrency platinum forexplus chip card,"Customer can load Multicurrency card by issuance of cheque against the amount to be loaded. However, cards will be loaded post realisation of the cheque deposited by the customer. The exchange rate applicable will be for the day on which funds are realized and card is activated.",cards
are there extra charge to be aware of,"A few things to note - US Banks are given the right to add a surcharge to other bank customers accessing their ATMs. There are also certain ATMs in other countries that may levy a charge for transactions made by non-bank customers. These fees are normally displayed during the transaction. Check for this, so that you can either proceed with or end the transaction.",cards
i not a traveller can i still benefit from the multicurrency card,"The Multicurrency Platinum ForexPlus Chip Card is only for travellers, and cannot be issued to non-travellers",cards
what if the customer is passing by a terminal and a contactless transaction take place,"The Contactless technology works when the card is waved at a maximum range of 4 cms. Hence, even if the customer is at a small distance from the terminal, no accidental transaction can take place, Plus the cashier must first enter the amount on the PoS machine before the card is tapped/ waved and the payment is processed",cards
is there any difference in the process for atm and internet transaction for this contactless card,There is no difference in the transaction process for ATM & Internet transactions. For ATM transactions you need to enter the PIN and for Internet transaction you need to enter your 3D secure PIN or OTP,cards
what service can i avail on gca,You can avail following services through GCAS Emergency Card Replacement Emergency Cash Disbursement Cardholder Inquiry Service Lost and Stolen Card Reporting Note: Visa Charges are applicable,cards
what if i forget my atm pin,"Customer can reset ATM PIN by following the below steps: Login to Prepaid NetBanking using IPIN Select My Request ->Set ATM PIN -> Selects the Active Card (Radio Button) Answer the secret question. Mention DOB, Card Expiry and submit Enter the new ATM PIN to be set and finally submit. You will then get an SMS / email alert on your registered mobile number / email address",cards
which are the currency that can be loaded on the card,There are 23 currencies offered which can be loaded on the card: Australian Dollar (AUD) Dirhams (AED) Canadian Dollar (CAD) Euro (EUR) Japanese Yen (JPY) Singapore Dollars (SGD) Sterling Pound (GBP) Swiss Franc (CHF) US Dollar (USD) Swedish Krona (SEK) HongKong Dollar (HKD) Thailand Baht (THB) South African Rand (ZAR) Oman Riyal (OMR) New Zealand Dollar (NZD) Danish Krone (DKK) Norwegian Krone (NOK) Saudi Riyal (SAR) Malaysian Ringgit (MYR) Korean Won (KRW) Kuwait Dinar (KWD) Bahrain Dinar (BHD) Qatari Riyal (QAR),cards
how much is the currency conversion service tax applicable at the time of load reload and refund,"Following are the currency conversion service tax slabs applicable at the time of Load, Reload and Refund: Buy and Sell Forex Currency Service Tax Amount Up to Rs. 1 lakh 0.14% of the gross value or Rs. 35/- whichever is higher From Rs. 1 lakh to Rs 10 Lakhs Rs. 140 plus 0.07% of the amount exceeding Rs. 1 lakh From Rs. 10 lakhs and above Rs. 770 plus 0.014% of the amount exceeding Rs. 10 Lakhs, subject to a maximum of Rs. 7000",cards
how to set prepaid netbanking login user id password for the first time,You may have received IPIN or Activation Code in the kit provided to you. The Activation Code will be printed on the card mailer below the card whereas the IPIN will be printed on the PIN mailer along with ATM PIN. The Activation Code / IPIN is required to set your NetBanking Password for your Multicurrency card for the first time. Following steps should be followed for setting NetBanking User ID / Password for the first time using Activation Code / IPIN: Visit HDFC Bank website and select Prepaid NetBanking Enter the Card Number in User ID/Card Number field and the Activation Code / IPIN (mentioned in the PIN mailer) in the Password field. Input User ID of your choice for future login purpose Select the secret question from a dropdown menu and provide the answer Mention the new Password and reconfirm the same With the new User Id and Password you can then login to access your card account,cards
what are the authorization scenario,"When the card holder performs a payment transaction, the debit would take place on the priority as per the grid provided belowScenario 1 - If the customer has local currency (depending on country of transaction) wallet with sufficient balance then the transaction will be processed using the balances on the local currency walletScenario 2 â€“ If the local currency is part of the offered multiple currencies on the card but customer does not have sufficient balance in local currency wallet, however if the customer has sufficient balance (equivalent to local currency) on default currency wallet (EUR) then the transaction will be processed using the balances on the default currency wallet. Value from the default currency will be converted to local currency using cross currency conversion rate decided by the Bank. This rate will be calculated with a 2% markup on the IBR cross currency rateScenario 3 â€“ If the local currency is part of the offered multiple currencies on the card but customer does not have sufficient balance in local currency wallet as well as default currency wallet (EUR) however if the customer has sufficient balance (equivalent to local currency) on any other currency wallet then the transaction will be processed using the balances from the respective currency wallet. The card will look for balances across all the currency wallets in following order of priority as decided by the Bank1. EUR2. GBP3. AUD4. CAD5. SGD6. AED7. JPY8. CHF9. SEK10. HKD11. THB12. ZAR13. NZD14. OMR15. DKK16. NOK17. SAR18. MYR19. KRW20. BHD21. QAR22. KWD23. USDValue from the respective currency will be converted to local currency using cross currency conversion rate decided by the Bank. This rate will be calculated with a 2% markup on the IBR cross currency rateScenario 4 - If the customer transacts in currency which is not offered on the card, the transaction will be processed by debiting default currency (EUR) wallet. Cross currency conversion would take place as per existing Visa / MasterCard rates (3%) applicable for single currency cards. In case the default currency wallet does not have sufficient balance then funds would be pulled from wallet with sufficient funds and converted to the default currency using Bankâ€™s currency conversion rate. Partial transactions in different currency wallets are not allowed. If the customer does not have sufficient balance to process the transactions individually in any of the currency wallets, the transaction is declined even if the collective balances on the card across all currencies is sufficient to process the transaction",cards
how can i check the balance on my hdfc bank multicurrency forexplus chip card,"You can check the balance on all the active currency wallets on Multicurrency card with the help of Prepaid NetBanking facility. Alternately, you can also contact our PhoneBanking services to check the balance on your Multicurrency card.",cards
are there any transaction for which this card should not be used,"Yes, your Multicurrency ForexPlus Platinum card should not be used towards temporary charge blocks - e.g. paying deposits at hotels, hiring of cars etc. Incase you have paid these deposits using ForexPlus Platinum Multicurrency card and the hotel/car rental agency etc. settles the transaction for an amount lesser than the amount blocked or you make final payment through any different mode, the balance amount will get credited into your account only after 30 days from the transaction date. Note: The Bank reserves the right to charge the Card holder for any unauthorized amounts.",cards
do i need to pay additional amount over and above cash withdrawal charge levied by the hdfc bank for atm transaction,"In certain countries ATM Service providers are authorized to charge surcharge/convenience fees from the cardholders for accessing the ATM to withdraw money. These charges are levied by the ATM service provider over and above the charges levied by the HDFC Bank, and HDFC Bank bank has no control over the charges as these charges are not levied by the bank.These charges are normally displayed to the customer during the transaction and the customer has the option to either proceed with the transaction or abort if the charges are not acceptable to the customer.",cards
what doe mcc stand for,DCC stands for Dynamic Currency Conversion whereas MCC stands for Multiple Currency Conversoin. DCC / MCC at ATM / POS gives the cardholder an option to initiate a transaction in the currency of his choice. It also assists the cardholder to know the exact transaction value in the currency selected at the time of transaction.,cards
how to use contactless mutlicurrency forexplus card,"Look for Visa payWave/ MasterCard PayPass mark and contactless logo at the Point of Sale terminal machine at merchant outlet Check the transaction amount displayed on the machine screen and tap/ wave your Contactless MultiCurrency Card from a 4 cm range Enter your 4-digit ATM PIN on the machine, if prompted A green light will signal indicating that the transaction is complete",cards
what is the hdfc bank contactless multicurrencyforexplus card,"HDFC Bank Contactless Multicurrency ForexPluscard is an embedded chip based prepaid forex card introduced in partnership with VISA/MasterCard International. It is the first card to offer you the option of carrying upto 23 currencies simultaneously in a single card in a convenient and secure way. This card gives you the freedom to shop anywhere in the world and provides access to the currency of your destination at competitive market rates. It can be used at all VISA/MasterCard affiliated ATMs and merchant establishments worldwide. This card cannot be used for payments in India, Nepal or Bhutan.",cards
how many day in advance can i purchase foreign exchange,You can purchase foreign exchange up to 60 days in advance from the date of departure.,cards
how do i know if an atm will accept my multicurrency card,Look out for the VISA logo.,cards
where do i get this card,Contactless Multicurrency ForexPlus cardis available over the counter at HDFC Bank branches. You simply need to walk into our branch with required documentation and walk out with the Multicurrency card. The card will get activated within 5 to 6 hours from realization of funds. Alternatively existing bank customers can apply for the card by logging in to HDFC Bank NetBanking by selecting Purchase Forex Card option under Cards tab.,cards
can i use the mcc option at the time of transaction,"Whenever Platinum Multicurrency cardholder opts for DCC/MCC option on DCC/MCC enabled POS/ATM terminals, his/her transaction passes through cross currency transactions twice. It is not advisable for a ForexPlus cardholder to opt for DCC/MCC while using ForexPlus Platinum card for making payments.Please note that every cross currency transaction attracts currency conversion charges at applicable rates. Apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",cards
how can i avail of global customer assistance service gca for my multicurrency card,You can call the VISA call centre numbers to avail VISAâ€™s Global Customer Assistance Services. You can find a countrywise list of GCAS numbers at http://www.visa-asia.com/ap/Subscription/gcas.jsp,cards
what are the exchange rate applicable when i use my travel card for transaction cash withdrawal at atm and point of sale transaction at merchant outlet,"If the transaction is done in base currency (currency with which the card was loaded), there is no exchange rate applicable. However, for transactions other than the base currency, exchange rates / conversion rates from the base currency to the local currency would be applicable.",cards
how doe contactless multicurrency forexplus card work,"Your HDFC Bank Contactless Multicurrency ForexPlus card will be activated with the required currencies within 5 to 6 hours from the bank getting the clear funds from you. Once active, the card can be used at any international location for making payments at POS terminals or to withdraw cash at ATMs. (Usage of the card is not allowed in India, Nepal and Bhutan.) HDFC Bank Contactless MultiCurrency ForexPlus Card has a chip & a radio frequency antenna embedded. When the Contactless Card is tapped/ waved against the terminal enabled for contactless payments the card transmits payment details wirelessly, eliminating the need to insert it. Account details are communicated to the reader and then processed through the secure Visa/ MasterCard acceptance network in the usual way HDFC Bank Contactless Multicurrency ForexPlus card works just like any Debit / Credit Card for making payments at Merchant Establishments that have an electronic terminal. The transaction amount is deducted from available balance on the Multicurrency card. HDFC Bank Contactless Multicurrency ForexPlus card is accepted at all Merchant Establishments displaying the VISA/MasterCard symbol. The card can be used to withdraw cash at all VISA/MasterCard ATMs worldwide. Irrespective of the currency loaded on the card, the cash will be dispensed based on the currencies supported at the ATMs. Please note that you can select /change your ATM PIN with the help of Prepaid NetBanking facility for Multicurrency Cards.",cards
can i load multiple currency on one multicurrency platinum forexplus chip card,"Yes, you can carry more than one currency on your Multicurrency card. Only HDFC Bank Multicurrency Platinum ForexPlus Chip card gives you the power of carrying multiple currencies on just one card. So now forget to apply for a new card every time you visit a different country.",cards
what should i do if my multicurrency platinum forexplus chip card ha expired but there is an unutilised balance on the card,"If your Card has expired before all funds have been utilised, you can contact HDFC Bank PhoneBanking or any of our HDFC Bank branch for placing a refund request of the un-utilised balance. In case you wish you get a replacement card, you can place a request at any of our HDFC Bank branch",cards
what if the balance in the currency of transaction go down,"The card has inbuilt intelligence to process the transaction if any of the currency wallets has sufficient fund to authorize the transaction. If the currency wallet corresponding to the transaction currency does not have sufficient balance, the payment is processed by debiting the currency wallet with sufficient balance. By default the card first checks the Euro wallet and subsequently other currencies. Please note that if none of currency wallets have sufficient balance then the transaction will be declined even if collectively across the wallets the card has sufficient balance. Please note that cross currency conversion charges will be applicable in cases where the transaction is processed by utilizing funds from different currency wallet.",cards
how doe this card work,"Your HDFC Bank Multicurrency Platinum ForexPlus Chip card will be activated with the required currencies within 5 to 6 hours from the bank getting the clear funds from you. Once active, the card can be used at any international location for making payments at POS terminals or to withdraw cash at ATMs. (Usage of the card is not allowed in India, Nepal and Bhutan.) HDFC Bank Multicurrency Platinum ForexPlus Chip card works just like any Debit / Credit Card for making payments at Merchant Establishments that have an electronic terminal. The transaction amount is deducted from available balance on the Multicurrency card. HDFC Bank Multicurrency Platinum ForexPlus Chip card is accepted at all Merchant Establishments displaying the VISA/MasterCard symbol. The card can be used to withdraw cash at all VISA/MasterCard ATMs worldwide. Irrespective of the currency loaded on the card, the cash will be dispensed based on the currencies supported at the ATMs. Please note that you can select /change your ATM PIN with the help of Prepaid NetBanking facility for Multicurrency Cards.",cards
what are the charge towards availing gca service,Following are the charges for availing GCAS facility offered by Visa: Cardholder Inquiry Service: US $ 5 per inquiry Lost/Stolen Card reporting: US $ 35 per card Emergency Card Replacement: US $ 175 Emergency Cash Disbursement: US $ 175,cards
what should i do and whom to contact if my card is lost,"In case your card gets lost or stolen, all you have to do is call HDFC Bank PhoneBanking immediately and report the loss of your card. This facility is available 24 hrs on all days. The card can also be hotlisted using our Prepaid card NetBanking facility on www.hdfcbank.com",cards
can i load hajj umrah forexplus card by making payment in cash,"Hajj Umrah ForexPlus card Can be loaded against payment of cash upto a maximum value of Rs. 49,999.",cards
i not a traveller can i still benefit from the hajj umrah forexplus card,"The Hajj Umrah ForexPlus Card is designed only for overseas travellers, and cannot be issued to non-travellers.",cards
are there any transaction for which this card should not be used,"Yes, your Hajj Umrah ForexPlus card should not be used towards temporary charge blocks - e.g. paying deposits at hotels, hiring of cars etc. Incase you have paid these deposits using Hajj Umrah ForexPlus card and the hotel/car rental agency etc. settles the transaction for an amount lesser than the amount blocked or you make final payment through any different mode, the balance amount will get credited into your account only after 30 days from the transaction date.Note: The Bank reserves the right to charge the Card holder for any unauthorized amounts.",cards
can i issue cheque to load the hajj umrah forexplus card,"Customer can load Hajj Umrah ForexPlus card by issuance of cheque against the amount to be loaded. However, cards will be loaded post realisation of the cheque deposited by the customer. The exchange rate applicable will be for the day on which funds are realized and card is activated.",cards
what is the hdfc bank hajj umrah forexplus card,"The HDFC Bank Hajj Umrah ForexPlus card is an embedded Chip based Prepaid Forex card introduced in partnership with VISA International. It is the first card exclusively designed for Hajj Umrah pilgrims to carry currency in a convenient and secure way. The card holders are also entitled for exclusive discounts & gift voucher at select merchant outlets in Saudi Arabia. The card can be used at all VISA ATMs and merchant establishments worldwide. This card cannot be used for payments in India, Nepal or Bhutan.",cards
what document should i submit when i purchase the hdfc bank hajj umrah forexplus card,Completed ForexPlus card Application Form Form A2 A photocopy of your Passport OR self attested copy of the Hajj receipt and manifest Additional address Proof in case current address of the customer is not matching with the address updated on Passport,cards
do i need to have hdfc bank account to purchase the hajj umrah forexplus card,You can just walk into any of our HDFC bank branches in India and purchase it over the counter after submission of necessary documents.,cards
what is the maximum value for which the card can be used,"There is no limit imposed on the usage of Hajj Umrah ForexPlus card. Customers can withdraw/utilise any amount up to the value loaded on Hajj Umrah ForexPlus card at any ATM/POS. However, there are some ATMs service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by HDFC Bank. In such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",cards
how doe this card work,"Your HDFC Bank Hajj Umrah ForexPlus card will be activated with SAR within 4 hours from the bank getting the clear funds from you. Once activated, the card can be used at any international location for making payments at POS terminals or to withdraw cash at ATMs. (Usage of the card is not allowed in India, Nepal and Bhutan.) HDFC Bank Hajj Umrah ForexPlus card works just like any Debit / Credit Card for making payments at Merchant Establishments that have an electronic terminal. The transaction amount is deducted from available balance on the Hajj Umrah ForexPlus card. HDFC Bank Hajj Umrah ForexPlus card is accepted at all Merchant Establishments displaying the Visa symbol. The card can be used to withdraw cash at all Visa ATMs worldwide. Irrespective of the currency loaded on the card, the cash will be dispensed based on the currencies supported at the ATMs. Please note that you can select /change your ATM PIN with the help of NetBanking facility for Multicurrency Cards.",cards
what currency are available,Currencies offered:Saudi Riyal (SAR),cards
where do i get this card,Hajj Umrah ForexPlus Card is available over the counter at HDFC Bank branches. You simply need to walk into our branch with required documentation and walk out with the card. The card will get activated within 5 to 6 hours from realization of funds.,cards
what is the hdfc bank apollo medical benefit card,It is an electronic Prepaid Card issued to corporate organizations for offering medical allowance/reimbursement to their employees.,cards
where can i contact for related issue,You can call the Apollo customer care service centre number 1860 500 1066 or write to [email protected],cards
where can i contact for any card or transaction related issue,Please call customer service centre number 07666 155 220 or write to [email protected],cards
how soon can i get the hdfc bank apollo medical benefit card,HDFC Bank Apollo Medical Benefits Card will be available to you within 15 working days from the date of completion of formalities.,cards
is there a usage limit,No upper limit for usage limit on Point of Sale transactions. Usage restricted to the available balance in card.,cards
is there a load amount limit,"Card balances cannot exceed Rs. 10,000 at any given point in time and cumulative monthly load and reload is limited to Rs. 10,000.",cards
how do i top up the value of the card,Loading and reloading is as per the corporate instructions. Request from cardholder for reloading the card cannot be accepted.,cards
in case the card is lost or stolen or misused where i can hotlist my card,Card can be hot listed by calling/writing to customer service centre at the phone number and/or email address listed on the back of your card.,cards
can i use my medical benefit card outside india,No. Medical Benefit card is INR prepaid card which can be used only in India.,cards
where i can use the card,"HDFC Bank Apollo Medical Benefits Card can be used at medical outlets, pharmacies, hospitals, diagnostic centres, dental and laboratories displaying VISA logo.",cards
where i can view my card balance and card history,Card balance and card history can be viewed at www.hdfcbank.com after due login or can be accessed by calling/writing to customer service centre at the phone number and/or E-mail address listed on the back of your card.,cards
where do i get this card,ISIC ForexPlus Card is available over the counter at HDFC Bank branches. You simply need to walk into our branch with required documentation and walk out with ISIC ForexPlus Card. The card will get activated within 4 hours from realization of funds. Also you can apply by visiting www.hdfcbank.com -> Apply Online section or www.hdfcbank.com/personal/products/cards/prepaid-cards -> ISIC Student ID ForexPlus Card -> Buy Forex Card,cards
whom should i contact if my card is lost or stolen,Immediately report the loss of your ISIC ForexPlus Chip Card by calling HDFC Bank PhoneBanking. You will not be liable for transactions on your Card Account (if any) from the moment your report is registered with the bank. Alternately you can hotlist the card with the help of Prepaid NetBanking facility.,cards
how can i check the balance on my hdfc bank isic forexplus chip card,"You can check the balance on ISIC ForexPlus Chip card with the help of NetBanking facility. You will need to use the card number as user ID & IPIN issued to you as part of the card kit to login to NetBanking facility. Alternately, you can also contact our PhoneBanking services to check the balance on your ISIC ForexPlus Chip Card.",cards
how much foreign exchange can i retain after the foreign trip,"After returning from the overseas trip, you are required to surrender unspent foreign exchange held by you within 180 days of return. You can retain foreign exchange up to USD 2,000 (or equivalent) for future use after returning back to India.",cards
what happens if my card is lost,"In case your card gets lost or stolen, all you have to do is call HDFC Bank PhoneBanking immediately and report the loss of your card. This facility is available 24 hrs on all days. The card can also be hotlisted using our Prepaid card NetBanking facility on www.hdfcbank.com",cards
how do i the value of my card when i am abroad,"ISIC HDFC Bank ForexPlus Card can also be loaded on your behalf by someone authorized (blood relatives only) by you. Authorised person has to visit HDFC Bank branch with the necessary documents and funds. Weâ€™ll take care of the rest. You can reload your ISIC ForexPlus Card multiple times in future till the card gets expired: You can authorize the Bank to debit your HDFC Bank account by giving an HDFC Bank cheque or make payment using a local cheque drawn on HDFC Bank and reload the card for desired value. Reload requests can be made by any authorized person (blood relatives only) on your behalf. The person authorised by you for the same will need to come to bank branch and will need to provide the necessary documents to the bank to carry out reload. On receipt of the application form and the funds, your card will get reloaded for the desired amount. HDFC Bank customers can also place a request to reload the card through HDFC Bank PhoneBanking or HDFC Bank NetBanking.",cards
what document should i submit when i purchase the isic hdfc bank forexplus card,Customers have to provide the following documents: Completed ISIC HDFC Bank ForexPlus Card application Form Form A2 Appointment Letter / Admission Letter / University Identity Card Scanned copy passport size photograph with white background A photocopy of Passport Additional document for non HDFC Bank Customer - Visa Copy or Ticket Copy,cards
i have renewed my passport with new number do i need to update my new passport number in my isic forexplus chip card,"Yes, we request you to get in touch with nearby branch along with original & copy of your passport to get the new passport number updated in the bank's records. Passport number is key validation criteria to check caller authenticity when you contact our 24 x 7 PhoneBanking service, hence it is recommended to update Passport number at the earliest.",cards
can i issue cheque for loading of isic hdfc bank forexplus card,"Customer can load ISIC ForexPlus card by issuance of cheque against the amount to be loaded. However, cards will be loaded post realisation of the cheque deposited by the customer. The exchange rate applicable will be for the day on which funds are realized and card is activated",cards
how do i know if an atm will accept my isic hdfc bank forexplus card,ISIC ForexPlus cards are accepted at MasterCard ATMs. Please look out for the MasterCard logo while searching for ATM.,cards
what is the validity of the isic hdfc bank forexplus card,The ISIC ForexPlus card shall be valid for period for 1year.,cards
do i need to have hdfc bank account to purchase the isic hdfc bank forexplus chip card,"No, you don't need to have an account with HDFC Bank to purchase the ISIC ForexPlus Chip card. You can just walk into any of our HDFC bank branches in India and purchase it over the counter on submission of relevant KYC and mandatory documents.",cards
what doe mcc stand for,DCC stands for Dynamic Currency Conversion whereas MCC stands for Multiple Currency Conversoin. DCC / MCC at ATM / POS gives the cardholder an option to initiate a transaction in the currency of his choice. It also assists the cardholder to know the exact transaction value in the currency selected at the time of transaction.,cards
what if i forget my atm pin,You can call the HDFC bank PhoneBanking to request for re-issuance of PIN or place a request through Prepaid NetBanking. A new PIN will be sent across to your registered mailing address held on record with the bank.,cards
how do i get my card reissued post the expiry of the isic forexplus chip card,You simply need to walk into our HDFC Bank branch with the required documentation and walk out with new ISIC ForexPlus Chip card. The new card issued to you will get activated within 4 hours and the available funds in expired card will be get automatically transferred to the new card.,cards
can the atm pin be changed,"No, the ATM PIN cannot be changed at the ATM. In case you have forgotten or lost the PIN, you will need to request for a new PIN with the help of PhoneBanking or through Prepaid NetBanking.",cards
how soon can the card be used after it is purchased,Your card will be activated & loaded with required currency within 4 hours from the bank having received clear funds from you. The card will be ready for use post activation.,cards
how can i cancel my isic hdfc bank forexplus card,"To cancel your ISIC ForexPlus Card, we request you to contact the PhoneBanking team or walk into your nearest HDFC Bank branch and place a request towards cancellation. Your request will be processed within one working day of us receiving the request. There are no charges towards the cancellation of a ISIC ForexPlus Card. However, currency conversion tax as applicable from time to time will be deducted at the time of providing credit to you.Kindly visit the following URL to access information for the complete address and contact details of our Branches and PhoneBanking centers:",cards
how doe this card work,"Your ISIC HDFC Bank ForexPlus Chip card will be activated with the required Euro / GBP and USD within 4 hours from the bank getting the clear funds from you. Once active, the card can be used at any international location for making payments at POS terminals or to withdraw cash at ATMs. (Usage of the card is not allowed in India, Nepal and Bhutan.) ISIC HDFC Bank ForexPlus Chip card works just like any Debit / Credit Card for making payments at Merchant Establishments that have an electronic terminal. The transaction amount is deducted from available balance on the ISIC ForexPlus Chip card. The ISIC HDFC Bank ForexPlus Chip card is accepted at all Merchant Establishments displaying the MasterCard symbol. The card can be used to withdraw cash at all MasterCard ATMs worldwide. Irrespective of the currency loaded on the card, the cash will be dispensed based on the currencies supported at the ATMs. Please ensure that you remember the PIN given to you with the card pack, the PIN is unique for every card and cannot be changed at any domestic or international ATM.",cards
what is isic hdfc bank forexplus card,"ISIC HDFC Bank ForexPlus Card is a magnetic strip based prepaid card introduced in partnership with MasterCard International. The card offers you a convenient and secure way to carry forex. This card offers you the freedom to shop anywhere in the world and provides access to the currency of your destination at competitive market rates. It can be used at all MasterCard ATMs and Merchant establishment worldwide. This card cannot be used for making payments in India, Nepal or Bhutan.",cards
how do i activate,Just log on to NetBanking and enable your e-commerce transaction facility.,cards
how do i the value of my card when i am abroad,"ISIC ForexPlus Card can also be loaded on your behalf by someone authorized by you. Authorised person has to visit HDFC Bank branch with the necessary documents and funds. Weâ€™ll take care of the rest. You can reload your ISIC ForexPlus card multiple times in future till the card gets expired: You can authorize the Bank to debit your HDFC Bank account by giving an HDFC Bank cheque or make payment using a local cheque drawn on HDFC Bank and reload the card for desired value. Reload requests can be made by any authorized person on your behalf. The person authorised by you for the same will need to come to bank branch and will need to provide the necessary documents to the bank to carry out reload. On receipt of the application form and the funds, your card will get reloaded for the desired amount. HDFC Bank customers can also place a request to reload the card through HDFC Bank PhoneBanking or HDFC Bank NetBanking.",cards
can a non traveller purchase isic forexplus card,"No, ISIC ForexPlus Card can only be issued to Students travelling abroad to pursue higher education. ISIC ForexPlus Card is valid for making payments in countries other than India, Nepal & Bhutan. Whenever the cardholder is using his card he must be present at the place of transaction & need to sign the charge slip.",cards
can i load isic forexplus card by making payment in cash,"No, ISIC ForexPlus card cannot be loaded against payment of cash.",cards
what do i need to know about isic hdfc bank forexplus card,"Embedded with a chip, this ForexPlus card offers you a convenient and secure way to carry your Forex. With the ISIC HDFC Bank ForexPlus card you can shop anywhere in the world.",cards
are there any transaction for which this card should not be used,"Yes, your ISIC ForexPlus Card should not be used towards temporary charge blocks - e.g. paying deposits at hotels, hiring of cars etc. In case you have paid these deposits using ForexPlus Card and the hotel/car rental agency etc. settles the transaction for an amount lesser than the amount blocked or you make final payment through any different mode, the balance amount will get credited into your account only after 30 days from the transaction date. Note: The Bank reserves the right to charge the Card holder for any unauthorized amounts.",cards
do i need to pay additional amount over and above cash withdrawal charge levied by the hdfc bank for atm transaction,"In certain countires ATM Service providers are authorized to charge surcharge/convenience fees from the cardholders for accessing the ATM to withdraw money. These charges are levied by the ATM service provider over and above the charges levied by the HDFC Bank, and HDFC Bank bank has no control over the charges as these charges are not levied by the bank.These charges are normally displayed to the customer during the transaction and the customer has the option to either proceed with the transaction or abort if the charges are not acceptable to the customer.",cards
what currency are available,There are three currencies offered: Euro (EUR) Sterling Pound (GBP) US Dollar (USD),cards
can i use the mcc option at the time of transaction,"Whenever ISIC ForexPlus cardholder opts for DCC/MCC option on DCC/MCC enabled POS/ATM terminals, his/her transaction passes through cross currency transactions twice. It is not advisable for a ISIC ForexPlus cardholder to opt for DCC/MCC while using ISIC ForexPlus Chip card for making payments. Please note that every cross currency transaction attracts currency conversion charges at applicable rates. Apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",cards
how many day in advance can i purchase foreign exchange,You can purchase foreign exchange up to 60 days in advance from the date of departure.,cards
